,date,content
85,2020-09-25,"Midwest States See Increase in COVID-19 Cases
"
86,2020-09-28,"Global COVID-19 Deaths Surpass 1 Million
"
87,2020-09-29,"HHS to Distribute 100 Million Rapid Tests to States
"
88,2020-09-29,"Regeneron Announces Positive Results for Monoclonal Antibody Treatment
"
89,2020-10-02,"Trump, First Lady Test Positive for COVID-19; Trump Enters Hospital
"
90,2020-10-05,"Trump Leaves Hospital, Continues Receiving Treatment
"
91,2020-10-08,"NEJM Criticizes Trump’s COVID-19 Response; 39 States See Case Spikes
"
92,2020-10-08,"More Americans Trust Biden to Lead Health Care System
"
93,2020-10-08,"White House COVID-19 Outbreak Grows to 34
"
94,2020-10-09,"US Signs Deal With AstraZeneca
"
95,2020-10-12,"Johnson & Johnson Halts Vaccine Trial
"
96,2020-10-15,"US Cases Spike Again; Studies Connect Blood Type and COVID-19 Risk
"
97,2020-10-19,"Global Cases Top 40 Million
"
98,2020-10-22,"FDA Approves Remdesivir as First COVID-19 Drug
"
99,2020-10-23,"AstraZeneca and Johnson & Johnson Announce Restart of COVID-19 Vaccine Trials
"
100,2020-10-28,"CMS Issues Vaccine, Treatment Coverage Rules
"
101,2020-11-04,"US Reports Unprecedented 100,000 Cases in 1 Day
"
102,2020-11-05,"Study Predicts Difficulties in Nationwide COVID-19 Immunity
"
103,2020-11-09,"President-Elect Biden Announces COVID-19 Transition Team; Pfizer Publishes Vaccine Results
"
104,2020-11-09,"FDA Issues EUA for Eli Lilly’s Antibody Treatment
"
105,2020-11-11,"Indoor Venues Responsible for Much of COVID-19’s Spread
"
106,2020-11-16,"Moderna Reveals Vaccine Efficacy Results
"
107,2020-11-16,"FDA to Move Rapidly on EUAs for Pfizer, Moderna Vaccines
"
108,2020-11-17,"Fauci Highlights the Need for Long-term Follow-up of COVID-19 Effects
"
109,2020-11-18,"Pfizer, BioNTech Vaccine Is 95% Effective
"
110,2020-11-20,"Pfizer, BioNTech Submit EUA Application; CDC Warns Against Holiday Travel
"
111,2020-11-23,"AstraZeneca Reports Vaccine Is 90% Effective; FDA Grants EUA for Second Antibody Treatment
"
112,2020-12-10,"FDA Advisory Panel Recommends Pfizer, BioNTech COVID-19 Vaccine
"
113,2020-12-11,"FDA Agrees to EUA for COVID-19 Vaccine From Pfizer, BioNTech
"
114,2020-12-17,"FDA Panel Backs Moderna COVID-19 Vaccine
"
115,2020-12-18,"FDA Signs Off on EUA for Moderna's COVID-19 Vaccine
"
116,2020-12-21,"New COVID-19 Variant Circling the UK
"
117,2020-12-23,"US Buys More Pfizer Vaccine
"
118,2020-12-28,"Novavax Starts Phase 3 Trial of COVID-19 Vaccine
"
119,2020-12-29,"First US Case of New COVID-19 Variant Found in Colorado
"
120,2020-12-30,"UK Approves Emergency Authorization for the AstraZeneca and Oxford COVID-19 Vaccine
"
121,2020-12-31,"US Falls Short of Goal to Give 20 Million Vaccinations by Year End
"
